district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
39,no,Brad,Lander,male,white-american,,2010-01-01,2017-12-31,councilor,democrat,lander@council.nyc.gov,718-499-1090,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/bradlander,https://www.facebook.com/BradLander,http://council.nyc.gov/d39/images/features/d39lander.jpg
40,no,Mathieu,Eugene,male,african-american,1954-04-01,2007-05-09,2017-12-31,councilor,democrat,mathieu.eugene@council.nyc.gov,718-287-8762,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/CMMathieuEugene,https://www.facebook.com/mathieu.eugene.50,http://council.nyc.gov/d40/images/features/d40eugene.jpg
41,no,Darlene,Mealy,female,african-american,,2006-01-01,2017-12-31,councilor,democrat,mealy@council.nyc.gov,718-953-3097,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/cmdarlenemealy,https://www.facebook.com/CityCouncilwomanDarleneMealy,http://council.nyc.gov/d41/images/features/d41mealy.jpg
42,no,Inez,Barron,female,african-american,,2014-01-01,2017-12-31,councilor,democrat,barron@council.nyc.gov,718-649-9495,"250 Broadway Suite 1823 New York, NY 10007",,,http://council.nyc.gov/d42/images/features/District42_Barron.jpeg
43,no,Vincent,Gentile,male,white-american,1959-01-03,2003-03-18,2017-12-31,councilor,democrat,vgentile@council.nyc.gov,718-748-5200,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/VGentile43,https://www.facebook.com/CouncilmanGentile,http://council.nyc.gov/d43/images/features/d43gentile.jpg
44,no,David,Greenfield,male,white-american,,2010-03-25,2017-12-31,councilor,democrat,dgreenfield@council.nyc.gov,718-853-2704,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/NYCGreenfield,https://www.facebook.com/david.g.greenfield,http://council.nyc.gov/d44/images/features/d44greenfield.jpg
45,no,Jumaane,Williams,male,african-american,1976-05-11,2010-01-01,2017-12-31,councilor,democrat,JWilliams@council.nyc.gov,718-629-2900,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/JumaaneWilliams,https://www.facebook.com/jumaane.williamscouncil,http://council.nyc.gov/d45/images/features/d45williams.jpg
46,no,Alan,Maisel,male,white-american,1945-07-25,2014-01-01,2017-12-31,councilor,democrat,AMaisel@council.nyc.gov,718-241-9330,"250 Broadway Suite 1823 New York, NY 10007",,https://www.facebook.com/Alan-Maisel-101012230083901,http://council.nyc.gov/d46/images/features/District46_Maisel.jpg
47,no,Mark,Treyger,male,white-american,1982-04-15,2014-01-01,2017-12-31,councilor,democrat,mtreyger@council.nyc.gov,718-373-9673,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/marktreyger718,https://www.facebook.com/CouncilMemberTreyger,http://council.nyc.gov/d47/images/features/District47_Treyger.jpeg
48,no,Chaim,Deutsch,male,white-american,1969-04-15,2014-01-01,2017-12-31,councilor,democrat,cdeutsch@council.nyc.gov,718-368-9176,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/ChaimDeutsch,https://www.facebook.com/people/Councilman-Chaim-Deutsch/100004765095752,http://council.nyc.gov/d48/images/features/District48_Deutsch3.jpg
49,no,Deborah,Rose,female,african-american,,2010-01-01,2017-12-31,deputy-majority-leader,democrat,DROSE@Council.nyc.gov,718-556-7370,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/CMDebiRose,https://www.facebook.com/CouncilwomanDebiRose,http://council.nyc.gov/d49/images/features/d49rose.jpg
50,no,Steven,Matteo,male,white-american,1977-02-18,2015-07-01,2017-12-31,minority-leader,republican,SMatteo@council.nyc.gov,718-980-1017,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/StevenMatteo,https://www.facebook.com/StevenMatteoSI,http://council.nyc.gov/d50/images/features/matteo.jpg
51,no,Joe,Borelli,male,white-american,1982-07-27,2015-11-30,2017-12-31,councilor,republican,borelli@council.nyc.gov,718-984-5151,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/joeborellinyc,https://www.facebook.com/joe.borelli,http://council.nyc.gov/d51/images/jb.jpg
,no,Bill,De Blasio,male,white-american,1961-05-08,2014-01-01,2017-12-31,mayor,democrat,,212-788-3000,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/BilldeBlasio,https://www.facebook.com/bill.deblasio/,https://pbs.twimg.com/profile_images/788865119593828352/xeoFvT2J.jpg
,no,Cyrus,Vance,male,white-american,1954-06-14,2010-01-01,2017-12-31,district-attorney,independent,,212-335-9000,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/ManhattanDA,https://www.facebook.com/ManhattanDistrictAttorney,http://manhattanda.org/sites/default/files/DA%20Vance%20portrait_1.jpg
